t,x,y,z
106410.00000000000,-3828388.704120986,-23058455.843854055,12352214.68047191
106440.00000000000,-3798084.5530967526,-23020513.38068016,12431232.521069795
106470.00000000000,-3767558.380271063,-22982367.20833198,12510008.957797557
106500.00000000000,-3736809.7410512,-22944018.837751664,12588542.450251617
106530.00000000000,-3705838.2007932533,-22905469.784950487,12666831.462679889
106560.00000000000,-3674643.334830608,-22866721.570943367,12744874.4640137
106590.00000000000,-3643224.728502009,-22827775.721683152,12822669.92789958
106620.00000000000,-3611581.9771792423,-22788633.76799471,12900216.33273101
106650.00000000000,-3579714.686294267,-22749297.24550876,12977512.161680056
106680.00000000000,-3547622.471366127,-22709767.694595546,13054555.902728895
106710.00000000000,-3515304.9580270434,-22670046.660298333,13131346.048701288
106740.00000000000,-3482761.782048406,-22630135.69226663,13207881.097293923
106770.00000000000,-3449992.589366164,-22590036.344689265,13284159.551107658
106800.00000000000,-3416997.036105776,-22549750.176227253,13360179.91767873
106830.00000000000,-3383774.7886067117,-22509278.7499465,13435940.709509792
106860.00000000000,-3350325.523446491,-22468623.633250292,13511440.444100887
106890.00000000000,-3316648.9274644013,-22427786.397811558,13586677.643980332
106920.00000000000,-3282744.697784433,-22386768.619505078,13661650.836735498
106950.00000000000,-3248612.541838141,-22345571.878339406,13736358.555043446
106980.00000000000,-3214252.1773867756,-22304197.758388624,13810799.336701576
107010.00000000000,-3179663.3325431077,-22262647.847723976,13884971.724658031
107040.00000000000,-3144845.7457927307,-22220923.738345314,13958874.2670421
107070.00000000000,-3109799.1660148297,-22179027.02611234,14032505.517194496
107100.00000000000,-3074523.3525027586,-22136959.310675733,14105864.033697514
107130.00000000000,-3039018.07498373,-22094722.19540812,14178948.380405076
107160.00000000000,-3003283.1136384057,-22052317.28733483,14251757.126472715
107190.00000000000,-2967318.259119859,-22009746.197064586,14324288.84638743
107220.00000000000,-2931123.3125721104,-21967010.53871996,14396542.119997388
107250.00000000000,-2894698.0856481213,-21924111.929867722,14468515.532541618
107280.00000000000,-2858042.400527564,-21881051.991449058,14540207.67467951
107310.00000000000,-2821156.0899336766,-21837832.34770963,14611617.142520247
107340.00000000000,-2784038.997150112,-21794454.62612948,14682742.537652086
107370.00000000000,-2746690.97603702,-21750920.457352858,14753582.467171622
107400.00000000000,-2709111.891046783,-21707231.475117825,14824135.54371282
107430.00000000000,-2671301.617239264,-21663389.316185858,14894400.385476029
107460.00000000000,-2633260.04029651,-21619395.620271184,14964375.616256824
107490.00000000000,-2594987.0565370526,-21575252.029970113,15034059.865474788
107520.00000000000,-2556482.57292985,-21530960.190690182,15103451.768202111
107550.00000000000,-2517746.5071073547,-21486521.75057923,15172549.965192169
107580.00000000000,-2478778.78737857,-21441938.36045431,15241353.102907874
107610.00000000000,-2439579.3527413514,-21397211.673730552,15309859.833550017
